username,userid,profile_location,created_at,text,retweet_count,source,coordinates,,
Jason Walcott,595132234,"Tacoma, WA",1/26/2023 4:18,"@_RoseMelle Try not to eat after 6:30 in the evening. If you eat sometime between 6:30 and before going to bed, the??https://t.co/YSVvxSxTw4",0,Twitter for Android,,,
Rando_Webb,1.58684E+18,"Tacoma, WA",1/26/2023 3:47,"I would never eat at Chick-fil-A, not because of their Christian stances, but because their overpriced food has no??https://t.co/D8hUOMy0HG",0,Twitter for Android,,,
(????,1.36839E+18,"Tacoma, WA",1/26/2023 3:45,@LionelMedia Meanwhile 100s of 1000s on the streets of America are begging for affordable housing and food.,0,Twitter for iPhone,,,
Tacos Mirrey,1.37132E+18,"Edgewood, WA",1/26/2023 3:03,"?�� TMRW 5pm-7pm @ Fierce County Cider Food Truck Schedule (9918 162nd St Ct E, 98375)",0,StreetFoodFinder.com,,,
AllStarVintage,1.02666E+18,"766 S. 38TH ST, TACOMA",1/26/2023 2:52,"Join us for Lincoln District Lunar New Year this Sat 1/28
?��Opening Ceremony @ 10
?��Lion Dancers &amp; Firecrackers
?��Rest??https://t.co/boSq4NiWtR",2,Twitter for iPhone,,,
Shanyce?��,2502065329,"Tacoma, WA",1/26/2023 1:15,I just want sea food for Valentine?�s Day fr ?��?��?��,0,Twitter for iPhone,,,
Jeromy Krom,39174939,"Tacoma, WA",1/25/2023 23:59,@carsonwright26 @PaulLovesBeer90 @YandellChuck Your regularly scheduled awful Carson food take,0,Twitter for iPhone,,,
Josh Weed,17177145,"Tacoma, WA",1/25/2023 23:48,The #adhd urge to get in as much yummy food as you can before your pills because once they kick in your appetite go??https://t.co/xnIqlvInY2,2,Twitter for iPhone,,,
Robert Read,1.59926E+18,"Tacoma, WA",1/25/2023 23:16,@UN @UNDESA A World Construction and a World Bill of Rights administered through the United Nations and paid for by??https://t.co/MOcyMhghhj,0,Twitter for iPhone,,,
LiN??,1.49486E+18,"Tacoma, WA",1/25/2023 22:30,don?�t have enough money for food or rent or gas :)) gonna update my print shop soon,0,Twitter for iPhone,,,
Tacoma Public Utilities,266866895,"Tacoma, WA",1/25/2023 20:53,"Celebrate Lunar New Year in the Lincoln District on Jan. 28 for a day of lion dancers, firecrackers, food, and fami??https://t.co/tyvkmLUcTP",0,Sprout Social,,,
Eskimo Misty,1.43166E+18,"Tacoma, WA",1/25/2023 20:45,7 miles lots of non shines  time for a food break  .   Waterfront any  good  #monkeyshines2023,1,Twitter for Android,,,
Pole Position,2344212918,"Tacoma, WA",1/25/2023 18:01,"You're halfway through the work week. Celebrate with a delicious meal at Pole Position ?��

#polepositionsportsbar??https://t.co/aESzyEcaJo",0,Hootsuite Inc.,,,
latife ??3265774141,"Tacoma, WA",1/25/2023 17:53,I need to start forcing myself to do the things I need and want to do after work instead of eating myself into a fo??https://t.co/aZHtU0BRo3,0,Twitter for iPhone,,,,
Elisa Rizzolo,1.08601E+18,,1/25/2023 17:20,@TDLockett12 Lol. Never ever wear men's clothes unless want to smell your man's scent close to you while he is away??https://t.co/6NF3ZsniCL,0,Twitter for Android,,,
Emergency Food Netwk,61803735,"Lakewood, WA",1/25/2023 17:03,Potatoes heading out to our partner sites to feed our neighbors in need! Partner site information can be found on o??https://t.co/etEq1toCL5,0,Loomly,,,
Alex Benzegala,838347170,"Tacoma, WA",1/25/2023 16:28,@TDLockett12 Are you saying you never try her food too? It goes both ways man!,0,Twitter for Android,,,
Emergency Food Netwk,61803735,"Lakewood, WA",1/25/2023 16:03,"Our neighbors need your help! By registering for the Hunger Walk, you can help us meet the current increased need f??https://t.co/NhWHUMyGwf",0,Loomly,,,
Morf Morford,2664880224,Tacoma ,1/25/2023 14:37,Half of Washington college students experience food or housing insecurity or homelessness https://t.co/MQVuesPqL8,0,Twitter Web App,,,
NIL Bag SZN,94842816,"Tacoma, WA",1/25/2023 14:29,@awrestaurants One post and now I like A&amp;W more than other fast food restaurants. And their ice cream machines aren?�t always broken ?��,0,Twitter for iPhone,,,
SwitchbladeZ,1.59914E+18,Tacoma,1/25/2023 12:14,@_TimSwain_ Cigarettes and fast food kills more people than guns ever will.,0,Twitter Web App,,,
Tacoma News Tribune,8983922,"Tacoma, WA",1/25/2023 11:10,"It?�s a long process, but the results are more than rewarding.  https://t.co/lBX9UDRULj",0,True Anthem,,,
Whit Levis,216106285,"Tacoma, WA",1/25/2023 7:27,@1goodtern So... this has me thinking about the long term effects of covid on animals... like we know animals can g??https://t.co/WQTV6AQxbu,0,Twitter Web App,,,
Jane,237969937,,1/25/2023 6:35,Damn my patna always making some good ass food in the kitchen. Got me a whole ass house husband.,0,Twitter for iPhone,,,
Richard,23408927,"Tacoma, WA",1/25/2023 5:59,Depends on how I get food and what the plumbing situation is. https://t.co/NJs4UulrTu,0,Twitter for iPhone,,,
Paul Troyer,1.60111E+18,"Fircrest, WA",1/25/2023 5:52,@KirbyCheatFurby Shy guy after putting food poisoning in a supply of pizza rolls,0,Twitter for Android,,,
Fer,2187381799,"Tacoma, WA",1/25/2023 4:52,The food in Mexico is fucking good. Ugh I wanna move back so bad,0,Twitter for iPhone,,,
Christina Lloyd,7.13143E+17,"Tacoma, WA",1/25/2023 4:10,@WonderW97800751 Kinda has that look like the guy &amp; his food boat/auto/flyin machine in the movie ??The Fifth Element ???��?��,0,Twitter for iPhone,,,
Jim,1.16783E+18,"Lakewood, WA",1/25/2023 3:56,@tatertotsmcgee You post food stuff every so often and n your posts are much happier when you do. I would miss those.,0,Twitter for Android,,,
Robert Read,1.59926E+18,"Tacoma, WA",1/25/2023 3:55,@UN @UNESCO A World Construction and a World Bill of Right administered through the United Nations and paid for by??https://t.co/K3crwET4et,0,Twitter for iPhone,,,
Andrea (Tull) Davis,1144273028,"Tacoma, WA",1/25/2023 3:40,@cj_wong @marcusriccelli Signed in to testify PRO but ran out of time and wasn?�t called. I was planning to say ?�foo??https://t.co/bv08M4T7Yi,0,Twitter for iPhone,,,
Alexa_Lynne,3276993030,"University Place, WA",1/25/2023 3:38,"@HorrorLovesBeth Yes. And I have two cats, one of whom has special wet food because he?�s an oldboi. Keeping them fr??https://t.co/ohXOQM7dti",0,Twitter for iPhone,,,
Namors Kitty Kat ?��,23293031,"Tacoma, Wa",1/25/2023 3:33,@blackbiggaay lmfao seriously!! he was so ready to eat some real food ?��?��,0,Twitter for iPhone,,,
ThunderousBlairHorn,162698708,"Tacoma, WA",1/25/2023 2:02,Someone come make food for me.?��,0,Twitter Web App,,,
Pam?��,3007613545,"Tacoma, WA",1/25/2023 0:45,@saadityjawn This happened to be but in reverse ?��?�� the dude texted me soon as I left and asked me to pull back up a??https://t.co/5v1ZtxbCvs,0,Twitter for iPhone,,,
tacomacc,15110194,"Tacoma, WA",1/25/2023 0:12,"It's Tuesday, so there's a @NourishPierceCo food truck on campus tonight! Stop by Parking Lot F (near Mildred Stree??https://t.co/XA8ZIlDF5s",0,Twitter Web App,,,
Chris,1.0977E+18,"Tacoma, WA",1/25/2023 0:06,"@NotoriousPBG Not sure which is more hilarious. The food, or that they think people are out here fuming over what they ruined it on.",0,Twitter for Android,,,
Auntie Anne ?��,3279567559,"Tacoma, WA",1/24/2023 22:40,@That_SoRaven Maybe not super healthy but it?�s definitely better over fast food ?��,0,Twitter for iPhone,,,
